lead_id,lead_first_contact_date,lead_origin,lead_type,lead_behaviour_profile,lead_business_segment,lead_business_type,gmv,is_closed,merchant_type
dac32acd4db4c29c230538b72f8dd87d,2023-02-01,social,unknown,unknown,unknown,unknown,unknown,0,new
8c18d1de7f67e60dbd64e3c07d7e9d5d,2022-10-20,paid_search,unknown,unknown,unknown,unknown,unknown,0,new
b4bc852d233dfefc5131f593b538befa,2023-03-22,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
6be030b81c75970747525b843c1ef4f8,2023-01-22,email,unknown,unknown,unknown,unknown,unknown,0,new
5420aad7fec3549a85876ba1c529bd84,2023-02-21,organic_search,online_medium,cat,pet,reseller,930.17,1,existing
28bdfd5f057764b54c38770f95c69f2f,2023-01-14,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
126a0d10becbaafcb2e72ce6848cf32c,2023-05-15,email,unknown,unknown,unknown,unknown,unknown,0,new
f76136f54d14a3345951f25b7932366b,2023-05-24,email,unknown,unknown,unknown,unknown,unknown,0,new
2f838cade4a6012a6cb1016d1d8d95ed,2022-11-10,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
7281942387a1a0c3f72a50a8b0bb0920,2022-12-25,social,unknown,unknown,unknown,unknown,unknown,0,new
c534e2f89539e866011e1e75adfefbfb,2023-01-24,unknown,unknown,unknown,unknown,unknown,unknown,0,new
c3764ab3fed8fbf556c87fdeaea744a9,2023-04-30,paid_search,unknown,unknown,unknown,unknown,unknown,0,new
a555fb36b9368110ede0f043dfc3b9a0,2023-04-04,referral,industry,eagle,car_accessories,reseller,0.0,1,existing
988c9372560f30a5f28f92640bb2b3da,2023-05-23,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
327174d3648a2d047e8940d7d15204ca,2023-04-03,organic_search,online_big,cat,home_appliances,reseller,25372.08,1,existing
a5448d7164426cc7f3260a7b2001e3e6,2022-12-08,paid_search,unknown,unknown,unknown,unknown,unknown,0,new
6dda8f32d9ddc2a9ffe87be7d361a5c9,2023-02-16,unknown,unknown,unknown,unknown,unknown,unknown,0,new
be8f254ef25c5a40ac8b395ed4fc6033,2023-01-13,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
3183fc21acb07e30098c42484e12d697,2023-01-15,direct_traffic,unknown,unknown,unknown,unknown,unknown,0,new
8051b43253152a39fe9367c69b79b42b,2023-02-23,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
443a4c031f05c42f729a1ff2ac219b5a,2022-07-25,paid_search,unknown,unknown,unknown,unknown,unknown,0,new
e1b036022a6aaa7d187caae163216533,2022-07-13,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
29860f5735fc4987b5f8ef3ee2767847,2023-03-12,unknown,unknown,unknown,unknown,unknown,unknown,0,new
4bdc2dfb783f8c24c6d0d032a623febc,2023-04-14,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
6d1ca411fcbc6a21484877d59be651db,2022-12-31,display,unknown,unknown,unknown,unknown,unknown,0,new
b12b646e693cbf411f8eaae5204ffdfe,2022-09-11,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
e3154fc901362537cc34b26fd18f0f05,2023-05-29,referral,unknown,unknown,unknown,unknown,unknown,0,new
f101b87d3b9adb48f2016bf059067ea2,2023-05-02,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
a8b32485ea3dafd7c06f87afe4f7c6d2,2023-04-15,social,unknown,unknown,unknown,unknown,unknown,0,new
2f0bf07b716733d56ffa0b68cfe3823f,2023-05-08,social,unknown,unknown,unknown,unknown,unknown,0,new
676c0c9be43fd984c92b0ecfdab3c0d9,2022-12-31,display,unknown,unknown,unknown,unknown,unknown,0,new
5f62b80e297edbcbfb1bb211062834e9,2023-01-26,paid_search,unknown,unknown,unknown,unknown,unknown,0,new
b62db8fadd1b177cc5ed1d239d6e2f1e,2023-02-22,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
f0b8024455e6c0cb3ab7495325afee5c,2023-05-11,social,unknown,unknown,unknown,unknown,unknown,0,new
2f20c4826f9fabdb206537363642dd65,2023-04-18,paid_search,unknown,unknown,unknown,unknown,unknown,0,new
65855f77bb6ee720c0a940b9cf8101a9,2022-09-26,referral,unknown,unknown,unknown,unknown,unknown,0,new
91ae48805e8e96055d454f043054059b,2023-03-07,display,unknown,unknown,unknown,unknown,unknown,0,new
899c617012fd3225c396958f91b21f84,2023-03-16,unknown,unknown,unknown,unknown,unknown,unknown,0,new
365aa59e779547d7e081b220f8fa67ac,2022-09-29,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
f5fee8f7da74f4887f5bcae2bafb6dd6,2023-01-14,paid_search,online_small,unknown,food_drink,reseller,0.0,1,existing
82ade9609d9915ca5e830df04b7d90e2,2023-01-03,referral,unknown,unknown,unknown,unknown,unknown,0,new
1d833a78ef4b542f594ef2cd734e1d14,2023-05-30,paid_search,unknown,unknown,unknown,unknown,unknown,0,new
9cfc99e322c9ce9f0fcfe1843113b472,2023-03-28,direct_traffic,unknown,unknown,unknown,unknown,unknown,0,new
2b6319cb1c507418504e28bf285072ee,2023-02-05,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
4c721b2017d5fb477659ba48277446de,2023-02-17,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
9cb7b5ea641f6919eec4a49c7957c6e0,2022-07-06,unknown,unknown,unknown,unknown,unknown,unknown,0,new
ce8d8333fc3f225ab596b0505fbdb2cf,2023-04-19,social,unknown,unknown,unknown,unknown,unknown,0,new
fe629597eb47defc9ff1e96bbd47277c,2023-04-05,direct_traffic,unknown,unknown,unknown,unknown,unknown,0,new
656b60bbc8395b4e80dc1cc6a3cf1ef2,2023-02-28,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
0e4b276ab6c5b327772e80cc543a0049,2023-01-22,paid_search,unknown,unknown,unknown,unknown,unknown,0,new
196a347f6fbe48ecb3c53a261119729e,2022-10-19,email,unknown,unknown,unknown,unknown,unknown,0,new
312ec7f8d4615d6dd78477a4f581c612,2022-10-10,paid_search,unknown,unknown,unknown,unknown,unknown,0,new
56c25287be94f28752503a1cb341c896,2022-08-07,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
710ba53b0d353329706ee1bedf4b9b39,2022-08-10,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
80b7b0e690b99b5246e4b11990fb8184,2022-09-12,social,unknown,unknown,unknown,unknown,unknown,0,new
19e733acd3ee9f9362a484e5915c132b,2023-03-06,unknown,unknown,unknown,unknown,unknown,unknown,0,new
b34757e1761fdbe6d687ecf4d698447a,2022-07-10,social,unknown,unknown,unknown,unknown,unknown,0,new
8e7af20b649bd58357ffc4aa7cf5e88f,2023-02-08,social,unknown,unknown,unknown,unknown,unknown,0,new
96add356f09fd7a5941ebb73c114b051,2023-01-10,direct_traffic,unknown,unknown,unknown,unknown,unknown,0,new
8e952443b19bfc5d0b90e6c4eabcb8fb,2023-01-28,unknown,unknown,unknown,unknown,unknown,unknown,0,new
06dc745ebe65fdc0b40a6360a1876967,2023-05-25,social,unknown,unknown,unknown,unknown,unknown,0,new
5134cb3d435ee631ad39aaa79f8874d0,2022-10-21,direct_traffic,unknown,unknown,unknown,unknown,unknown,0,new
5ff3fd94bc09fae5dab3de636b8f130c,2023-01-29,paid_search,unknown,unknown,unknown,unknown,unknown,0,new
4cc863f5bb92c44a3936263859171e53,2023-05-09,other_publicities,unknown,unknown,unknown,unknown,unknown,0,new
936c567e63dabf5ab46ed2440f376fc8,2023-02-20,social,unknown,unknown,unknown,unknown,unknown,0,new
1ca6bbff2b5e3a0f442e1407ec1c1654,2023-04-26,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
c3804daac5b8859f0975d20c9fe3370e,2023-01-05,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
ffe640179b554e295c167a2f6be528e0,2022-10-09,unknown,industry,wolf,home_appliances,manufacturer,816.21,1,existing
e66d9dab8705f19bd91b48f1a6bc5487,2023-05-20,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
8631e5b91354a846f00dbbf16ad94259,2023-04-12,other,unknown,unknown,unknown,unknown,unknown,0,new
e7cdf7ba8ccaec414712f15d40280d50,2022-07-11,other,unknown,unknown,unknown,unknown,unknown,0,new
ac83d3f400e95a5d31e7c59d2743bf73,2022-07-08,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
aa839cfb74f9e5ae2a89572a0093dd58,2023-01-29,social,unknown,unknown,unknown,unknown,unknown,0,new
a51d33efc990731cb31eb6e9bcf79670,2023-03-07,social,unknown,unknown,unknown,unknown,unknown,0,new
280d8c73b56b79f1059539da36c7ae4a,2023-05-11,unknown,unknown,unknown,unknown,unknown,unknown,0,new
a8de839ca3b50ef2eac03640ccf56afd,2022-09-05,social,unknown,unknown,unknown,unknown,unknown,0,new
c2411c0857a5002c42d2b16457deba2f,2022-08-07,paid_search,unknown,unknown,unknown,unknown,unknown,0,new
2f159dfb71adadd9ed3956f59a97c248,2023-05-25,email,unknown,unknown,unknown,unknown,unknown,0,new
ef4fc148f9ea60330eb0df54b1349a2d,2022-08-27,paid_search,unknown,unknown,unknown,unknown,unknown,0,new
b94fba7670eeb44dce2a0d8eb790e9f5,2023-02-06,organic_search,online_medium,unknown,health_beauty,manufacturer,113.69,1,existing
09ec0f40d1fec53253882a9f9f913cbd,2022-08-24,referral,unknown,unknown,unknown,unknown,unknown,0,new
38d278dbb9c22bb5190e920ce2ed5fff,2022-11-14,unknown,unknown,unknown,unknown,unknown,unknown,0,new
c3e30ed7ac989117c7e1e719b4ac128f,2023-02-20,direct_traffic,online_medium,wolf,computers,reseller,0.0,1,existing
437aadef672e77658e88fa71c9bd224c,2022-10-18,unknown,unknown,unknown,unknown,unknown,unknown,0,new
010d18a1aeff169f741b6fe97fdd6a1d,2023-01-30,paid_search,unknown,unknown,unknown,unknown,unknown,0,new
9c975e80ae0c16ac742ab69f9750ce6d,2023-05-14,unknown,unknown,unknown,unknown,unknown,unknown,0,new
b02c89251106e1fdd9d92744be9f94f2,2023-04-13,unknown,offline,cat,health_beauty,manufacturer,185.8,1,existing
56acc3070ab7205fcdb09ec5c8071dac,2022-10-16,paid_search,unknown,unknown,unknown,unknown,unknown,0,new
3aab3d6ff7ff48ac335703d9125ad2a7,2022-11-24,display,unknown,unknown,unknown,unknown,unknown,0,new
fc90ef8f569ff0eecfdc2c3860ee64a1,2023-03-24,paid_search,unknown,unknown,unknown,unknown,unknown,0,new
e7a7ba56b1be30e178cd52820e063396,2022-09-15,paid_search,unknown,unknown,unknown,unknown,unknown,0,new
16ff2a6adf8f3b8d2ec7bb6777eac8a0,2023-03-21,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
65c6cd63f9c7a97d36b6648b1795f35e,2023-03-21,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
c24c47dd1b2e9aac64cab553d94a22d7,2023-01-01,referral,unknown,unknown,unknown,unknown,unknown,0,new
e8520871e749a7ea9fb362d1805f28be,2023-03-20,direct_traffic,unknown,unknown,unknown,unknown,unknown,0,new
f56fd81299f45d30fae410987983d000,2022-11-16,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
c1ca185ea0fad2ac9c1e9bf8e21c793e,2023-04-20,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
9078bbd890a90f1aa3c5e8d972394eb6,2023-05-14,display,unknown,unknown,unknown,unknown,unknown,0,new
a90a37898cc5f2718385a2fb981caaff,2023-04-27,social,offline,eagle,household_utilities,reseller,0.0,1,existing
2f384466a8f3cc12bbd45d984ff77765,2023-03-14,unknown,unknown,unknown,unknown,unknown,unknown,0,new
f63d6b3e439d2ef66cf77266122a88bf,2023-04-04,organic_search,unknown,unknown,unknown,unknown,unknown,0,new
